股票代码,股票名称,股票上市日期,股票上市地点,股票所属行业,每股收益,每股净资产,净资产收益率,总资产收益率,毛利率,净利率,营业利润率,市盈率（静）,市盈率（TTM）,市净率,市销率,股息率,营业收入增长率,净利润增长率,净资产增长率,净利润增速,资产负债率,流动比率,总资产周转率,存货周转率,应收账款周转率,每股经营现金流,现金流量比率
300669,沪宁股份,,深圳,,46964,0.41,1,,4.3685708202,-45.677336650545,21.3027191803,24495,27512,786,95,11.2818205165,1.02322415269,6243,20170629,6243,6787088625.719999,192705526.0,5.6002102312,3883,1194,,
300670,大烨智能,,深圳,,-3464,-2.84,1,,-35.2284186851,-409.893287652927,-1.4355725615,31310,-15743,399,514,66.3942992595,-0.149490286521,614,20170703,614,2484656555.36,316920479.0,-25.352101325,934,473,,
300671,富满微,,深圳,,-8843,-1.46,1089,,16.129146082,11.193687191492,6.600082012,-3669,-3718,550,637,39.2315224462,-0.792251572886,-4138,20170705,-4138,8861386051.1,217724473.0,-14.8463635006,5180,2212,,
300672,国科微,,深圳,,10406,1.25,1089,,-10.890595711,25.001694294779,34.4821461093,22066,19951,524,410,45.835075423,2.495394912935,-2825,20170712,-2825,21438298546.56,217140672.0,16.1870506788,10195,4165,,
300673,佩蒂股份,,深圳,,2800,3.9,1,,-13.9424182889,-19.232301474796,31.9842034351,2431,2711,240,865,33.0169451204,2.595450041181,3131,20170711,3131,4429176492.0,248830140.0,11.0022488475,2074,1101,,
300674,宇信科技,,深圳,,8590,1.35,1089,,-12.5700414507,81.093447539705,27.7684780413,5260,4923,480,868,22.5645385881,2.444030016246,-575,20181107,-575,19981139362.8,704057060.0,11.0394250998,3374,1018,,
300675,建科院,,深圳,,-1666,-6.05,1,,-28.1068831273,-59.318627445551,-11.5710977302,98575,-21874,417,334,58.569042756,1.720120333859,2689,20170719,2689,2367200538.0,146666700.0,-87.9172451597,2179,1110,,
300676,华大基因,,深圳,,197459,0.06,1089,,-12.8231135711,-68.251141587401,44.6455734791,-2528,-2494,247,190,24.8092267285,8.795935674847,4136,20170714,4136,22819196441.25,418317075.0,0.2540494286,7030,3375,,
300677,英科医疗,,深圳,,1768,2.17,1089,,13.2017689443,48.079419870167,24.1608873802,1702,1579,140,268,51.6130299923,24.156139560988,-7948,20170721,-7948,24941093670.870003,654793743.0,14.4900774876,4087,1968,,
300678,中科信息,,深圳,,154151,0.44,1089,,-6.6068252937,-24.475299095381,29.4617396032,121275,138994,1374,807,25.8917306764,1.052982915981,704,20170728,704,11615378822.67,296386293.0,2.3900689798,5069,2037,,
300679,电连技术,,深圳,,4434,4.92,1089,,17.7139618943,-21.102379423123,29.4158226541,3458,3861,433,439,30.0729407318,5.824136578763,7416,20170731,7416,21521381200.0,424820000.0,10.1530459743,7047,3044,,
300680,隆盛科技,,深圳,,4288,3.0,1025,,7.063715323,11.407554662751,18.1210779576,4485,4368,527,1132,50.2624388574,2.497923494976,7246,20170725,7246,10062773486.82,227716078.0,10.0324343485,4930,1505,,
300681,英搏尔,,深圳,,20181,0.52,1089,,15.1895290265,26.294968130415,14.9981166056,12154,11785,399,788,60.4661309758,1.169877859198,-2872,20170725,-2872,8629802978.76,262943418.0,1.9585650843,4433,1224,,
300682,朗新集团,,深圳,,47490,0.41,1089,,-0.3941930397,-23.015829803373,46.054295886,-10868,-10509,409,534,27.9787597939,2.545194081775,8709,20170801,8709,27200627920.48,1080247336.0,0.5717252146999999,2644,800,,
300683,海特生物,,深圳,,-9197,-1.65,1,,-3.3590835643,-72.10153940874,40.7364614867,-10392,-8403,306,1193,14.7148064708,2.520302285833,221,20170808,221,7207045168.46,130894391.0,-14.615657419700002,6176,1900,,
300684,中石科技,,深圳,,4398,2.99,1025,,16.4057369539,105.69542194607,32.9194515192,5393,4659,571,1223,13.9078043399,1.084247754033,5559,20171227,5559,10860204425.98,299509223.0,17.6965514113,3958,1348,,
300685,艾德生物,,深圳,,2564,9.92,1089,,6.6898694741,31.406850728565,84.0019553932,3804,3231,514,214,14.0466942354,3.200238617689,1651,20170802,1651,9694434925.44,391536144.0,32.6295259814,2849,1725,,
300686,智动力,,深圳,,-3865,-1.98,1,,7.8446594549,33.568877664813,8.0991146979,-2376,-2576,372,3229,50.1173349622,-0.665934396734,5362,20170804,5362,3682620228.6,260624220.0,-6.6378712814,1522,615,,
300687,赛意信息,,深圳,,35398,0.67,1089,,-15.7302912264,-38.717220718791,31.9108457906,9248,10080,468,675,27.4549796309,2.589049367475,2082,20170803,2082,12889470411.6,408411610.0,1.3834462965999998,3983,1207,,
300688,创业黑马,,深圳,,-26458,-2.79,1025,,-30.0887511086,65.304306642761,47.6782238487,-5844,-7378,1498,1493,29.3753139356,-0.645395870428,3791,20170810,3791,6167933248.400001,167379464.0,-32.367862239900006,4180,2135,,
300689,澄天伟业,,深圳,,32965,0.78,1,,33.0093491839,1143.65351975627,19.7061136822,60373,40202,1024,593,10.590100937,3.072813406401,5105,20170809,5105,6986864000.0,115600000.0,5.7383171726,6760,1326,,
300690,双一科技,,深圳,,3048,6.56,65,,44.5749226042,324.498124173042,28.4201880361,7083,3751,396,1443,21.8726427696,4.682228777438,5393,20170808,5393,6088147197.58,165348919.0,19.002866191000003,4408,1570,,
300691,联合光电,,深圳,,-5785,-1.55,1089,,-3.535663055,-1537.03409776828,27.560792541,14393,34601,350,513,47.066773502,1.037965194719,702,20170811,702,5550476042.58,269048766.0,-6.6891106371,2508,1399,,
300692,中环环保,,深圳,,3428,1.93,1,,4.8367238396,9.691274701688,37.4359777106,5100,4785,138,1005,63.0378725405,2.169456417638,-1430,20170821,-1430,3022494453.76,424507648.0,10.0745119133,800,409,,
