股票代码,股票名称,股票上市日期,股票上市地点,股票所属行业,每股收益,每股净资产,净资产收益率,总资产收益率,毛利率,净利率,营业利润率,市盈率（静）,市盈率（TTM）,市净率,市销率,股息率,营业收入增长率,净利润增长率,净资产增长率,净利润增速,资产负债率,流动比率,总资产周转率,存货周转率,应收账款周转率,每股经营现金流,现金流量比率
000088,盐 田 港,,深圳,,1920,1.74,1089,,-14.0447653244,21.629359284436,22.3699492809,1780,1710,137,273,23.4861760406,1.061907137133,-4545,19970728,-4545,24021613058.52,5199483346.0,186.3565064491,549,410,,
000089,深圳机场,,深圳,,2378,2.74,1089,,12.3215083663,79.131144306421,24.1557210032,3351,2556,130,114,52.6650214837,2.675189922092,-5415,19980420,-5415,14847571245.16,2050769509.0,12.3532053968,766,574,,
000090,天健集团,,深圳,,8300,0.12,1089,,6.6939038875,-83.220232630817,11.0756038859,1108,1656,62,307,75.5155011294,3.522992452283,151,19990721,151,6876247197.12,1868545434.0,0.1052965173,481,310,,
000096,广聚能源,,深圳,,11227,0.52,1025,,-37.8685378708,110.986284466415,10.7980712082,6715,6225,234,217,5.6606307394,2.378092082538,-2815,20000724,-2815,6510240000.0,528000000.0,4.5957458545000005,2446,823,,
000099,中信海直,,深圳,,5184,1.7,1089,,8.3713496167,9.179923033217,21.8507567823,6237,6083,356,545,22.8459039276,2.848756527631,-3880,20000731,-3880,18913275940.06,775770137.0,17.9563029304,3362,1377,,
000100,TCL科技,,深圳,,2434,1.91,1089,,0.4333336011,321.959075959159,13.2381478376,6304,4219,161,318,67.1220474811,1.035006465583,-444,20040130,-444,98596087998.78,20800862447.0,0.51785669,578,351,,
000151,中成股份,,深圳,,-4030,-7.85,65,,-47.3709179762,26.296466059168,17.5571687922,-1470,-1519,1322,364,88.8494725884,-3.384184426753,-4478,20000906,-4478,4490404389.68,337370728.0,-10.0531040853,1890,860,,
000153,丰原药业,,深圳,,2148,3.71,1,,-12.1641048461,-23.883265927712,19.7485371545,2037,2393,156,309,56.2144184836,2.194349486716,2645,20000920,2645,3276654740.1,464773722.0,3.6999049935,808,479,,
000155,川能动力,,深圳,,2023,2.28,1089,,-16.6190720765,-43.031496803688,52.1953357541,2636,3497,182,149,54.2787412333,0.724839413669,-1222,20000926,-1222,19163227389.960003,1846168342.0,32.3300849711,1440,894,,
000156,华数传媒,,深圳,,3152,1.69,1089,,2.0727430046,4.6311254215,30.8575731258,2998,2936,108,185,46.4943905637,1.798932529813,3979,20000906,3979,16009336298.88,1852932442.0,6.1168221974,1024,596,,
