股票代码,股票名称,peTTM,pctChg
sh.600281,华阳新材,-58.815396,1.443
sh.600282,南钢股份,12.787333,0.6369
sh.600283,钱江水利,24.782578,2.6265
sh.600284,浦东建设,12.1815,3.6443
sh.600285,羚锐制药,17.627011,1.0417
sh.600287,江苏舜天,54.265406,-1.9097
sh.600288,大恒科技,-297.214498,-5.1685
sh.600289,ST信通,-36.949272,0.3091
sh.600292,远达环保,213.759797,-1.6168
sh.600293,三峡新材,-868.107888,0.3175
sh.600295,鄂尔多斯,14.726904,0.0971
sh.600298,安琪酵母,22.024267,0.2874
sh.600299,安迪苏,19.533231,0.5952
sh.600300,维维股份,16.064267,0.8571
sh.600301,华锡有色,21.408922,-0.4797
sh.600302,标准股份,-17.257359,10.0156
sh.600303,曙光股份,-7.132075,-0.545
sh.600305,恒顺醋业,68.119639,1.0204
sh.600307,酒钢宏兴,-4.656379,2.1622
sh.600308,华泰股份,-318.73274,-0.5571
sh.600309,万华化学,16.712947,3.0342
sh.600310,广西能源,-69.080988,0.7264
sh.600312,平高电气,18.768023,-0.4997
sh.600313,农发种业,131.989241,1.0938
sh.600315,上海家化,-17.210964,0.4047
sh.600316,洪都航空,762.635004,-4.5781
sh.600318,新力金融,146.231282,-3.1853
sh.600319,亚星化学,-25.066145,-1.1331
sh.600320,振华重工,39.06542,-0.8639
sh.600322,津投城开,-15.607269,-2.7211
sh.600323,瀚蓝环境,12.989154,-0.6227
sh.600325,华发股份,-93.996744,-0.6024
sh.600326,西藏天路,-153.72197,3.9466
sh.600327,大东方,73.064209,0.0
sh.600328,中盐化工,90.514578,-0.4932
sh.600329,达仁堂,13.197115,4.0548
sh.600330,天通股份,108.317981,-1.816
sh.600331,宏达股份,4506.817244,-1.631
sh.600332,白云山,16.283867,1.236
sh.600333,长春燃气,-156.943054,0.4024
sh.600335,国机汽车,24.127289,-0.6107
sh.600336,澳柯玛,-143.554443,-0.7052
sh.600337,美克家居,-4.844468,0.995
sh.600338,西藏珠峰,29.186102,-0.817
sh.600339,中油工程,33.454659,0.0
sh.600340,华夏幸福,-1.560484,-1.7621
sh.600343,航天动力,-49.507474,-0.5384
sh.600345,长江通信,45.198995,1.7728
sh.600346,恒力石化,16.294365,3.6703
sh.600348,华阳股份,13.013358,-0.1416
sh.600350,山东高速,15.235843,-0.779
sh.600351,亚宝药业,21.17434,0.419
sh.600352,浙江龙盛,15.80913,0.932
sh.600353,旭光电子,97.793989,-6.3657
sh.600354,敦煌种业,47.673807,3.3898
sh.600355,*ST精伦,-31.286484,-0.7326
sh.600356,恒丰纸业,21.969073,-0.7761
sh.600358,ST联合,-44.421031,0.0
sh.600359,新农开发,257.402739,0.9777
sh.600360,*ST华微,49.76878,4.9697
sh.600361,创新新材,18.132503,-0.9592
sh.600362,江西铜业,11.278291,-0.8457
sh.600363,联创光电,99.856025,-0.3587
sh.600365,ST通葡,-25.200958,0.3185
sh.600366,宁波韵升,100.854782,-2.482
sh.600367,红星发展,46.882805,-1.7857
sh.600368,五洲交通,10.355835,0.2288
sh.600369,西南证券,43.098802,-1.2766
sh.600370,三房巷,-13.283344,0.0
sh.600371,万向德农,68.962433,3.1149
sh.600372,中航机载,89.531809,2.2508
sh.600373,中文传媒,21.637299,0.5952
sh.600375,汉马科技,46.923765,1.4771
sh.600376,首开股份,-0.827861,-2.5271
sh.600377,宁沪高速,14.782744,-0.0693
sh.600378,昊华科技,31.509402,2.0671
sh.600379,宝光股份,49.195124,0.3623
sh.600380,健康元,16.831559,-0.0786
sh.600381,*ST春天,-15.384202,1.1848
sh.600382,广东明珠,151.786171,0.1818
sh.600383,金地集团,-2.751737,-2.7027
sh.600386,北巴传媒,199.242107,-0.211
sh.600388,龙净环保,18.741727,-0.986
sh.600389,江山股份,32.942317,0.2642
sh.600390,五矿资本,115.498935,-1.9231
sh.600391,航发科技,142.917733,0.7181
sh.600392,盛和资源,65.534262,-8.1463
sh.600395,盘江股份,-506.596597,-0.1946
sh.600396,华电辽能,47.99565,0.0
sh.600397,安源煤业,-20.743194,0.813
sh.600398,海澜之家,15.233032,0.5747
sh.600399,抚顺特钢,-88.517804,-0.3466
sh.600400,红豆股份,-16.578125,0.4484
sh.600403,大有能源,-8.27239,-1.0127
sh.600405,动力源,-10.024314,-1.1852
sh.600406,国电南瑞,22.965578,-0.4525
sh.600408,安泰集团,-9.344977,10.177
sh.600409,三友化工,29.419465,1.0582
sh.600410,华胜天成,33.41689,-4.1551
sh.600415,小商品城,37.522644,-1.6803
sh.600416,湘电股份,68.180207,-0.9957
sh.600418,江淮汽车,-51.574991,-2.3488
sh.600419,天润乳业,-102.46471,1.0157
sh.600420,国药现代,14.973576,1.9366
sh.600421,*ST华嵘,-231.87811,-2.56
sh.600422,昆药集团,18.372285,1.6552
sh.600423,柳化股份,100.442284,3.8781
sh.600425,青松建化,21.385629,-1.8868
sh.600426,华鲁恒升,14.905283,2.9801
sh.600428,中远海特,11.542547,1.034
sh.600429,三元股份,103.106232,2.3555
sh.600433,冠豪高新,39.242234,-0.9346
sh.600435,北方导航,285.383405,-1.4731
sh.600436,片仔癀,41.040647,0.1226
sh.600438,通威股份,-11.121645,2.534
sh.600439,瑞贝卡,-31.418535,-0.9202
sh.600444,国机通用,60.742826,-1.0175
sh.600446,金证股份,-84.833601,-6.6826
sh.600448,华纺股份,-37.910875,0.2976
sh.600449,宁夏建材,26.498858,-1.0776
sh.600452,涪陵电力,28.197175,0.1098
sh.600455,博通股份,52.735238,1.8915
sh.600456,宝钛股份,30.470453,-0.8112
sh.600458,时代新材,25.116018,-0.7722
sh.600459,贵研铂业,20.44399,-1.125
sh.600460,士兰微,112.53957,-1.6673
sh.600461,洪城环境,10.125587,0.5319
sh.600463,空港股份,-42.781312,6.3903
sh.600467,好当家,84.118647,1.2397
sh.600468,百利电气,-63.668915,-1.3514
sh.600469,风神股份,18.459546,-0.3356
sh.600470,六国化工,-65.826428,0.1718
sh.600475,华光环能,20.923959,-3.5422
sh.600476,湘邮科技,177.176328,0.3277
sh.600477,杭萧钢构,41.773018,0.0
sh.600478,科力远,117.112275,-2.5554
sh.600479,千金药业,19.612524,1.5497
sh.600480,凌云股份,22.150291,-2.4876
sh.600481,双良节能,-5.442493,-1.8581
sh.600482,中国动力,30.668803,-1.0697
sh.600483,福能股份,9.016506,0.7392
sh.600486,扬农化工,23.023942,-2.1677
sh.600487,亨通光电,14.322257,1.7445
sh.600488,津药药业,37.626232,0.4367
sh.600489,中金黄金,19.607007,0.3406
sh.600490,鹏欣资源,-562.554831,-1.3605
sh.600491,龙元建设,-11.395429,-0.8547
sh.600493,凤竹纺织,33.237477,-0.3008
sh.600495,晋西车轴,112.81764,-1.5474
sh.600496,精工钢构,12.384322,-0.2976
sh.600497,驰宏锌锗,21.91441,-1.9097
sh.600498,烽火通信,36.141332,-1.3983
sh.600499,科达制造,20.048436,0.3687
sh.600500,中化国际,-5.102013,-1.4118
sh.600501,航天晨光,-24.887428,0.7459
sh.600502,安徽建工,6.313485,-0.2016
sh.600503,华丽家族,-89.029643,-1.1152
sh.600505,西昌电力,247.103926,-0.869
sh.600506,统一股份,111.912707,0.0
sh.600507,方大特钢,33.545807,-1.0118
sh.600508,上海能源,17.123883,0.1634
sh.600509,天富能源,32.032021,0.3053
sh.600510,黑牡丹,55.90308,0.1825
sh.600511,国药股份,11.307993,0.402
sh.600512,腾达建设,-121.569384,0.0
sh.600513,联环药业,69.878754,-4.8412
sh.600515,海南机场,136.687275,-1.6908
sh.600516,方大炭素,911.878196,-0.6073
sh.600517,国网英大,17.555389,-1.0969
sh.600518,康美药业,3036.902135,0.4762
sh.600519,贵州茅台,20.455859,0.7255
sh.600520,三佳科技,285.441183,-0.7153
sh.600521,华海药业,29.695577,-1.4317
sh.600522,中天科技,16.814572,0.0
sh.600523,贵航股份,35.051772,-3.1756
sh.600525,ST长园,-3.824718,-1.2539
sh.600526,菲达环保,17.905211,-0.4057
sh.600527,江南高纤,97.521002,0.9302
sh.600528,中铁工业,12.752519,-3.527
sh.600529,山东药玻,16.20742,-0.4739
sh.600530,交大昂立,255.657975,2.1864
sh.600531,豫光金铅,10.160853,-1.7032
sh.600533,栖霞建设,-3.233639,-1.4085
sh.600535,天士力,25.397705,0.3027
sh.600536,中国软件,-114.979553,-2.0586
sh.600537,亿晶光电,-2.419547,-3.6585
sh.600538,国发股份,-43.355443,-1.0687
sh.600539,狮头股份,-119.291909,-5.4348
sh.600540,新赛股份,-12.654222,0.0
sh.600543,莫高股份,-32.931259,-0.7692
sh.600545,卓郎智能,-22.655438,-1.2397
sh.600546,山煤国际,10.228554,0.9073
sh.600547,山东黄金,41.037644,0.5686
sh.600548,深高速,22.975352,0.6757
sh.600549,厦门钨业,22.619188,-3.3844
sh.600550,保变电气,132.098417,-1.3468
sh.600551,时代出版,16.577074,-4.8924
sh.600552,凯盛科技,74.387765,1.458
sh.600556,天下秀,184.367791,0.3922
sh.600557,康缘药业,27.729948,0.4222
sh.600558,大西洋,29.59395,-0.726
sh.600559,老白干酒,19.357917,0.1178
sh.600560,金自天正,77.407305,-1.1834
sh.600561,江西长运,208.423318,1.1905
sh.600562,国睿科技,65.362713,-0.3212
sh.600563,法拉电子,23.092844,-0.8172
sh.600566,济川药业,11.940501,0.9158
sh.600567,山鹰国际,-22.992093,0.0
sh.600568,ST中珠,-5.540186,0.0
sh.600569,安阳钢铁,-2.62466,4.5455
sh.600570,恒生电子,63.016857,-2.1682
sh.600571,信雅达,119.386946,-2.7157
sh.600572,康恩贝,19.893362,1.0753
sh.600573,惠泉啤酒,45.918155,0.2479
sh.600575,淮河能源,17.187171,0.2786
sh.600576,祥源文旅,49.32692,0.3886
sh.600577,精达股份,28.712156,-2.5253
sh.600578,京能电力,12.417007,0.4662
sh.600579,中化装备,-2.211876,10.0
sh.600580,卧龙电驱,42.857309,-3.2394
sh.600581,八一钢铁,-4.030613,10.0737
sh.600582,天地科技,7.758322,-0.1582
sh.600583,海油工程,11.196486,0.1776
sh.600584,长电科技,37.906252,-0.7263
sh.600585,海螺水泥,16.041765,0.124
sh.600586,金晶科技,-73.919533,-1.8692
sh.600587,新华医疗,15.909207,3.3825
sh.600588,用友网络,-21.37019,-1.4785
sh.600589,大位科技,486.629401,-1.7011
sh.600590,泰豪科技,-8.445444,0.3165
sh.600592,龙溪股份,72.084825,-2.5237
sh.600593,大连圣亚,-52.90919,-4.1618
sh.600594,益佰制药,-13.283344,1.1682
sh.600595,中孚实业,21.15825,-1.2605
sh.600596,新安股份,-581.757384,0.2849
sh.600597,光明乳业,17.701001,1.1403
sh.600598,北大荒,25.342872,3.666
sh.600599,*ST熊猫,-2.678691,-0.9009
